act id;activity;match;errorcode;;phrase id;phrase
1;Invoke risk assessor;1;a;;0;0  The loan approval process starts by receiving a customer request for a loan amount .
2;Deny;3;;;1;1  The risk assessment Web service is invoked to assess the request .
3;Approve;2;;;2;2  , the loan is approved .
4;Invoke loan approval;4;;;3;3  , the loan is denied .
5;Return approval response;5;;;4;4  , the request is sent to the approver Web service .
;;;;;5;5  The customer receives feedback from the assessor or approver .
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The loan approval process starts by receiving a customer request for a loan amount.;;;;;;
The risk assessment Web service is invoked to assess the request.;;;;;;
If the loan is small and the customer is low risk, the loan is approved.;;;;;;
If the customer is high risk, the loan is denied.;;;;;;
If the customer needs further review or the loan amount is for \$10,000 or more, the request is sent to the approver Web service.;;;;;;
The customer receives feedback from the assessor or approver.;;;;;;
