act id;activity;match;errorcode;;phrase id;phrase
1;Collect mail;0;;;0;0  Mail from the party is collected on a daily basis by the Mail Processing Unit .
2;Sort unopened mail;1;;;1;1  Within this unit , the Mail Clerk sorts the unopened mail into the various business areas .
3;Sort opened mail;3;;;2;2  The mail is then distributed .
4;Register mail;3;;;3;3  When the mail is received by the Registry , it is opened and sorted into groups for distribution , and thus registered in a manual incoming Mail Register .
5;Check mail compliance;4;a;;4;4  Afterwards , the Assistant Registry Manager within the Registry performs a quality check .
6;Compile mail document requisition;5;;;5;5  , a list of requisition explaining the reason for rejection is compiled and sent back to the party .
7;Capture mailed document matter details;6;;;6;6  Otherwise , the matter details -LRB- types of action -RRB- are captured and provided to the Cashier , who takes the applicable fees attached to the mail .
8;Receipt P&E fee payment;6;;;7;7  At this point , the Assistant Registry Manager puts the receipt and copied documents into an envelope and posts it to the party .
9;Prepare mailed document response;7;;;8;8  Meantime , the Cashier captures the Party Details and prints the Physical Court File .
10;Capture P&E party details;8;;;;
11;Print physical file;8;;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
Mail from the party is collected on a daily basis by the Mail Processing Unit.;;;;;;
Within this unit, the Mail Clerk sorts the unopened mail into the various business areas.;;;;;;
The mail is then distributed.;;;;;;
When the mail is received by the Registry, it is opened and sorted into groups for distribution, and thus registered in a manual incoming Mail Register.;;;;;;
Afterwards, the Assistant Registry Manager within the Registry performs a quality check.;;;;;;
If the mail is not compliant, a list of requisition explaining the reason for rejection is compiled and sent back to the party.;;;;;;
Otherwise, the matter details (types of action) are captured and provided to the Cashier, who takes the applicable fees attached to the mail.;;;;;;
At this point, the Assistant Registry Manager puts the receipt and copied documents into an envelope and posts it to the party.;;;;;;
Meantime, the Cashier captures the Party Details and prints the Physical Court File.;;;;;;
