act id;activity;match;errorcode;;phrase id;phrase
1;Request;0;;;0;0  The INQ transmits the transaction data request to the IP .
2;Check;1;;;1;1  The IP checks the request of the INQ .
3;Transmit data;2;;;2;2  The IP answers the question of the INQ depending on the outcome of the examination , i.e. Transmission of data or rejection .
4;Reject;2;;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The INQ transmits the transaction data request to the IP.;;;;;;
The IP checks the request of the INQ.;;;;;;
The IP answers the question of the INQ depending on the outcome of the examination, i.e. Transmission of data or rejection.;;;;;;
