act id;activity;match;errorcode;;phrase id;phrase
1;Cause change by itself;0;;;0;0  The SP/PU/GO request changes of the MPO or the MPO himself causes a change .
2;Request a change;0;;;1;1  The MPO reviews the change request .
3;Review;1;;;2;2  The MPO rejects the change of the measuring point by the SP/PU/GO or the MPO confirms the request of the SP/PU/GO .
4;Reject the request;2;;;3;3  The MPO performs the measuring point change .
5;Confirm the request;2;;;4;4  The MPO reports the implementation to the SP/PU/GO or notifies the SP/PU/GO about the failure of the changes .
6;Perform the measuring point change;3;;;;
7;Send implementation report;4;;;;
8;Inform about failure of the changes;4;;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The SP/PU/GO request changes of the MPO or the MPO himself causes a change.;;;;;;
The MPO reviews the change request.;;;;;;
The MPO rejects the change of the measuring point by the SP/PU/GO or the MPO confirms the request of the SP/PU/GO.;;;;;;
The MPO performs the measuring point change.;;;;;;
The MPO reports the implementation to the SP/PU/GO or notifies the SP/PU/GO about the failure of the changes.;;;;;;
