act id;activity;match;errorcode;;phrase id;phrase
1;Register;0;;;0;0  The MSPN registers the measurement at the GO .
2;Examine;1;;;1;1  The GO examines the application of the MSPN .
3;Confirm registration;2;;;2;2  The GO rejects the application of the MSPN or the GO confirms the application of the MSPN .
4;Reject registration;2;;;3;3  The GO assigns the MSPN .
5;Assign MSPN;3;;;4;4  The GO informs the MSPO about the assignment of MSPN .
6;Inform MSPO about the assignment of the MSPN;4;;;5;5  The GO informs the MPO about the assignment of the MSPN .
7;Inform MPO about the assignment of the MSPN;5;;;6;6  The GO informs the SP about the assignment of MSPN .
8;Inform SP about the assignment of the MSPN;6;;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The MSPN registers the measurement at the GO.;;;;;;
The GO examines the application of the MSPN.;;;;;;
The GO rejects the application of the MSPN or the GO confirms the application of the MSPN.;;;;;;
The GO assigns the MSPN.;;;;;;
The GO informs the MSPO about the assignment of MSPN.;;;;;;
The GO informs the MPO about the assignment of the MSPN.;;;;;;
The GO informs the SP about the assignment of MSPN.;;;;;;
