act id;activity;match;errorcode;;phrase id;phrase
1;Confirm bill (MPOO);;m;;0;0  , the GO examines the bill .
2;Reject bill (MPOO);;m;;1;1  , the GO examines the bill .
3;Examine (MPON);2;;;2;2  , the GO examines the bill .
4;Confirm bill (MPON);4;;;3;3  , the MPON or the GO examines the bill .
5;Reject bill (MPON);4;;;4;4  The GO or the MPON confirms the invoice with payment advice to the MPOO or the MSPO , or the GO or the MPON rejects the invoice of the MPOO or the MSPO .
6;Examine (GO);3;;;;
7;Confirm bill (GO);4;;;;
8;Reject bill (GO);4;;;;
9;Transmit the bill (additional readings);2;;;;
10;Transmit the bill (measurements);1;;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
If the MPOO sends the bill for the temporary continuation of the metering point opera- tions to the GO, the GO examines the bill.;;;;;;
If the MSPO sends the bill for the temporary continuation of the measurement to the GO, the GO examines the bill.;;;;;;
If the MSPO sends the bill for additional readings to the GO, the GO examines the bill.;;;;;;
If the MPOO sends the bill for the equipment acquisition to the MPON or the GO, the MPON or the GO examines the bill.;;;;;;
The GO or the MPON confirms the invoice with payment advice to the MPOO or the MSPO, or the GO or the MPON rejects the invoice of the MPOO or the MSPO.;;;;;;
