act id;activity;match;errorcode;;phrase id;phrase
1;Check facts presented;3;;;0;0  Whenever a company makes the decision to go public , its first task is to select the underwriters .
2;Prepare registration statement for approval of SEC;5;;;1;1  Underwriters act as financial midwives to a new issue .
3;Check compliance with laws;6;;;2;2  Usually they play a triple role : First they provide the company with procedural and financial advice , then they buy the issue , and finally they resell it to the public .
4;Talk to potential investors;8;;;3;3  Established underwriters are careful of their reputation and will not handle a new issue unless they believe the facts have been presented fairly .
5;fix issue price;9;;;4;4  Thus , in addition to handling the sale of a company 's issue , the underwriters in effect give their seal of approval to it .
6;Buy stock;10;;;5;5  They prepare a registration statement for the approval of the Securities and Exchange Commission -LRB- SEC -RRB- .
7;offer to public;10;;;6;6  In addition to registering the issue with the SEC , they need to check that the issue complies with the so-called blue-sky laws of each state that regulate sales of securities within the state .
;;;;;7;7  While the registration statement is awaiting approval , underwriters begin to firm up the issue price .
;;;;;8;8  They arrange a road show to talk to potential investors .
;;;;;9;9  Immediately after they receive clearance from the SEC , underwriters fix the issue price .
;;;;;10;10  After that they enter into a firm commitment to buy the stock and then offer it to the public , when they havent still found any reason not to do it .
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
Whenever a company makes the decision to go public, its first task is to select the underwriters.;;;;;;
Underwriters act as financial midwives to a new issue.;;;;;;
Usually they play a triple role: First they provide the company with procedural and financial advice, then they buy the issue, and finally they resell it to the public.;;;;;;
Established underwriters are careful of their reputation and will not handle a new issue unless they believe the facts have been presented fairly.;;;;;;
Thus, in addition to handling the sale of a company‰Ûªs issue, the underwriters in effect give their seal of approval to it.;;;;;;
They prepare a registration statement for the approval of the Securities and Exchange Commission (SEC).;;;;;;
In addition to registering the issue with the SEC, they need to check that the issue complies with the so-called blue-sky laws of each state that regulate sales of securities within the state.;;;;;;
While the registration statement is awaiting approval, underwriters begin to firm up the issue price.;;;;;;
They arrange a road show to talk to potential investors.;;;;;;
Immediately after they receive clearance from the SEC, underwriters fix the issue price.;;;;;;
After that they enter into a firm commitment to buy the stock and then offer it to the public, when they havent still found any reason not to do it.;;;;;;
