act id;activity;match;errorcode;;phrase id;phrase
1;Draft dates;0;;;0;0  In November of each year , the Coordination Unit at the Town Planning Authority drafts a schedule of meetings for the next calendar year and adds draft dates to all calendars .
2;enter into next years calendar;0;;;1;1  The Support Officer then checks the dates and suggests modifications .
3;check and suggest updates;1;;;2;2  The Coordination Unit then rechecks all dates and looks for potential conflicts .
4;finalize calendar schedule;;m;;3;3  The final schedule of meeting dates is sent to all the independent Committee Members by email , who then check their diaries and advise the Coordination Unit of any conflicts .
5;check for conflicts;3;;;;
6;update group calendars;;m;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
In November of each year, the Coordination Unit at the Town Planning Authority drafts a schedule of meetings for the next calendar year and adds draft dates to all calendars.;;;;;;
The Support Officer then checks the dates and suggests modifications.;;;;;;
The Coordination Unit then rechecks all dates and looks for potential conflicts.;;;;;;
The final schedule of meeting dates is sent to all the independent Committee Members by email, who then check their diaries and advise the Coordination Unit of any conflicts.;;;;;;
