act id;activity;match;errorcode;;phrase id;phrase
1;Deregister;0;;;0;0  The MSPO deregisters at the GO .
2;Confirm deregistration primarily;2;;;1;1  The GO verifies the deregistration .
3;Reject deregistration;2;;;2;2  The GO rejects the deregistration of the MSPO or the GO preliminarily confirms the deregistration of the MSPO .
4;Assign GO as MSP;3;;;3;3  The GO assigns himself as MSP .
5;Inform about the new assignment;4;a;;4;4  The GO informs the MSPO about the end of the assignment and the beginning of the assignment of the GO .
;;;;;5;5  The GO informs the MPO about the assignment of the GO .
;;;;;6;6  The GO informs the SP about the assignment of the GO .
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The MSPO deregisters at the GO.;;;;;;
The GO verifies the deregistration.;;;;;;
The GO rejects the deregistration of the MSPO or the GO preliminarily confirms the deregistration of the MSPO.;;;;;;
The GO assigns himself as MSP.;;;;;;
The GO informs the MSPO about the end of the assignment and the beginning of the assignment of the GO.;;;;;;
The GO informs the MPO about the assignment of the GO.;;;;;;
The GO informs the SP about the assignment of the GO.;;;;;;
