act id;activity;match;errorcode;;phrase id;phrase
1;Report vacancy;;m;;0;0  The process is triggered by the demand of a functional department to fill a post .
2;Advertise post;1;;;1;1  The post is advertised , applicants apply , the applications are checked and the post is filled .
3;Apply;1;;;2;2  The process finishes when the post was filled , precisely through the conclusion of a contract of employment .
4;Check application;1;;;;
5;Fill post;2;;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The process is triggered by the demand of a functional department to fill a post.;;;;;;
The post is advertised, applicants apply, the applications are checked and the post is filled.;;;;;;
The process finishes when the post was filled, precisely through the conclusion of a contract of employment.;;;;;;
