act id;activity;match;errorcode;;phrase id;phrase
1;Deregister;0;;;0;0  The MPOO deregisters at the GO .
2;Verify;1;;;1;1  The GO verifies the deregistration .
3;Reject registration;2;;;2;2  The GO rejects the deregistration of the MPOO or the GO preliminarily confirms the deregistration of the MPOO .
4;Confirm deregistration preliminarily;2;;;3;3  The GO prepares the readmission of the measuring point .
5;Oblige the MPOO to continue operations;4;;;4;4  Optionally , the GO may oblige the MPOO to continue the operations .
6;Prepare readmission of the measuring point;3;;;5;5  , the MPOO confirms the continuation to the MPOO .
7;Acquire equipment;6;;;6;6  The GO performs the equipment acquisition and/or equipment changes .
8;Change equipment;6;;;7;7  The GO assigns the GO as MPO .
9;Assign the GO as MPO;7;;;8;8  The GO informs the MPOO about the end of the assignment of the MPOO and the beginning of the assignment of the GO .
10;Inform about the new assignment;8;;;9;9  The GO informs the MSPO about the assignment of the GO .
11;Inform about the assignment of the GO;9;;;10;10  The GO informs the SP about the assignment of the GO .
12;Confirm continuation through MSBA;5;;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The MPOO deregisters at the GO.;;;;;;
The GO verifies the deregistration.;;;;;;
The GO rejects the deregistration of the MPOO or the GO preliminarily confirms the deregistration of the MPOO.;;;;;;
The GO prepares the readmission of the measuring point.;;;;;;
Optionally, the GO may oblige the MPOO to continue the operations.;;;;;;
If the GO binds the MPOO to continue the operation, the MPOO confirms the continuation to the MPOO.;;;;;;
The GO performs the equipment acquisition and/or equipment changes.;;;;;;
The GO assigns the GO as MPO.;;;;;;
The GO informs the MPOO about the end of the assignment of the MPOO and the beginning of the assignment of the GO.;;;;;;
The GO informs the MSPO about the assignment of the GO.;;;;;;
The GO informs the SP about the assignment of the GO.;;;;;;
