act id;activity;match;errorcode;;phrase id;phrase
1;conduct visual inspection;1;;;0;0  As a basic principle , ACME AG receives invoices on paper or fax .
2;identify charging supplier;2;;;1;1  These are received by the Secretariat in the central inbox and forwarded after a short visual inspection to an accounting employee .
3;create instance;2;;;2;2  In '' ACME Financial Accounting '' , a software specially developed for the ACME AG , she identifies the charging suppliers and creates a new instance -LRB- invoice -RRB- .
4;check invoice items;3;;;3;3  She then checks the invoice items and notes the corresponding cost center at the ACME AG and the related cost center managers for each position on a separate form -LRB- '' docket '' -RRB- .
5;create docket;3;;;4;4  The docket and the copy of the invoice go to the internal mail together and are sent to the first cost center manager to the list .
6;deliver copy of the invoice & docket;4;;;5;5  He reviews the content for accuracy after receiving the copy of the invoice .
7;conduct check;5;;;6;6  Should everything be in order , he notes his code one on the docket -LRB- '' accurate position - AP '' -RRB- and returns the copy of the invoice to the internal mail .
8;conduct AP;6;;;7;7  From it , the copy of the invoice is passed on to the next cost center manager , based on the docket , or .
9;rejection;9;;;8;8  Therefore , the copy of invoice and the docket gradually move through the hands of all cost center managers until all positions are marked as completely accurate .
10;clarify inconsistencies;10;;;9;9  However , , e.g. because the ordered product is not of the expected quantity or quality , the cost center manager rejects the AP with a note and explanatory statement on the docket , and the copy of the invoice is sent back to accounting directly .
11;forward copy of the invoice;12;;;10;10  Based on the statements of the cost center managers , she will proceed with the clarification with the vendor , but , , she consults the cost center managers by telephone or e-mail again .
12;conduct commercial audit;13;;;11;11  When all inconsistencies are resolved , the copy of the invoice is sent to the cost center managers again , and the process continues .
13;conduct check;14;w;;12;12  After all invoice items are AP , the accounting employee forwards the copy of the invoice to the commercial manager .
14;issue the approval for payment;13;w;;13;13  He makes the commercial audit and issues the approval for payment .
15;give payment instructions;17;;;14;14  , the Board wants to check it again -LRB- 4-eyes-principle -RRB- .
16;close instance;17;;;15;15  The copy of the invoice including the docket moves back to the accounting employee in the appropriate signature file .
;;;;;16;16  Should there be a complaint during the commercial audit , it will be resolved by the accounting employee with the supplier .
;;;;;17;17  After the commercial audit is successfully completed , the accounting employee gives payment instructions and closes the instance in '' ACME financial accounting '' .
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
As a basic principle, ACME AG receives invoices on paper or fax.;;;;;;
These are received by the Secretariat in the central inbox and forwarded after a short visual inspection to an accounting employee.;;;;;;
In _ÑùACME Financial Accounting_Ñù, a software specially developed for the ACME AG, she identifies the charging suppliers and creates a new instance (invoice).;;;;;;
She then checks the invoice items and notes the corresponding cost center at the ACME AG and the related cost center managers for each position on a separate form (_Ñùdocket_Ñù).;;;;;;
The docket and the copy of the invoice go to the internal mail together and are sent to the first cost center manager to the list.;;;;;;
He reviews the content for accuracy after receiving the copy of the invoice.;;;;;;
Should everything be in order, he notes his code one on the docket (_Ñùaccurate position - AP_Ñù) and returns the copy of the invoice to the internal mail.;;;;;;
From it, the copy of the invoice is passed on to the next cost center manager, based on the docket, or if all items are marked correct, sent back to accounting.;;;;;;
Therefore, the copy of invoice and the docket gradually move through the hands of all cost center managers until all positions are marked as completely accurate.;;;;;;
However, if inconsistencies exist, e.g. because the ordered product is not of the expected quantity or quality, the cost center manager rejects the AP with a note and explanatory statement on the docket, and the copy of the invoice is sent back to accounting directly.;;;;;;
Based on the statements of the cost center managers, she will proceed with the clarification with the vendor, but, if necessary, she consults the cost center managers by telephone or e-mail again.;;;;;;
When all inconsistencies are resolved, the copy of the invoice is sent to the cost center managers again, and the process continues.;;;;;;
After all invoice items are AP, the accounting employee forwards the copy of the invoice to the commercial manager.;;;;;;
He makes the commercial audit and issues the approval for payment.;;;;;;
If the bill amount exceeds EUR 20,000, the Board wants to check it again (4-eyes-principle).;;;;;;
The copy of the invoice including the docket moves back to the accounting employee in the appropriate signature file.;;;;;;
Should there be a complaint during the commercial audit, it will be resolved by the accounting employee with the supplier.;;;;;;
After the commercial audit is successfully completed, the accounting employee gives payment instructions and closes the instance in _ÑùACME financial accounting_Ñù.;;;;;;
