act id;activity;match;errorcode;;phrase id;phrase
1;Report vacancy;0;;;0;0  When I have detected a number of personnel requirements , I report the vacancy to the Personnel Department .
2;Communicate tasks and requirements;;m;;1;1  Then I wait to get the job description for review before it is advertized .
3;Review job description;1;;;2;2  Under certain circumstances , I must ask for corrections again , otherwise I approve the job description .
4;Ask for corrections;2;;;3;3  Sometimes it also happens that the colleague from the HR department still has questions about the tasks and requirements before he can describe the job .
5;Approve job description;2;;;4;4  Then I am available for clarifications , of course .
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
When I have detected a number of personnel requirements, I report the vacancy to the Personnel Department.;;;;;;
Then I wait to get the job description for review before it is advertized.;;;;;;
Under certain circumstances, I must ask for corrections again, otherwise I approve the job description.;;;;;;
Sometimes it also happens that the colleague from the HR department still has questions about the tasks and requirements before he can describe the job.;;;;;;
Then I am available for clarifications, of course.;;;;;;
