act id;activity;match;errorcode;;phrase id;phrase
1;Register vacation request;1;;;0;0  The process of Vacations Request starts when any employee of the organization submits a vacation request .
2;Verify available vacation days;;m;;1;1  Once the requirement is registered , the request is received by the immediate supervisor of the employee requesting the vacation .
3;Approve vacation request;2;;;2;2  The supervisor must approve or reject the request .
4;Inform employee about reject reason;3;a;;3;3  , the application is returned to the applicant/employee who can review the rejection reasons .
5;Make administrative task;4;a;;4;4  a notification is generated to the Human Resources Representative , who must complete the respective management procedures .
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The process of Vacations Request starts when any employee of the organization submits a vacation request.;;;;;;
Once the requirement is registered, the request is received by the immediate supervisor of the employee requesting the vacation.;;;;;;
The supervisor must approve or reject the request.;;;;;;
If the request is rejected, the application is returned to the applicant/employee who can review the rejection reasons.;;;;;;
If the request is approved a notification is generated to the Human Resources Representative, who must complete the respective management procedures.;;;;;;
