act id;activity;match;errorcode;;phrase id;phrase
1;Send questionnaire;0;;;0;0  In the context of a claim handling process , it is sometimes necessary to send a questionnaire to the claimant to gather additional information .
2;Send reminder;2;;;1;1  The claimant is expected to return the questionnaire within five days .
3;Filled questionnaire received;3;;;2;2  , a reminder is sent to the claimant .
;;;;;3;3  , another reminder is sent and so on until the completed questionnaire is received .
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
In the context of a claim handling process, it is sometimes necessary to send a questionnaire to the claimant to gather additional information.;;;;;;
The claimant is expected to return the questionnaire within five days.;;;;;;
If no response is received after five days, a reminder is sent to the claimant.;;;;;;
If after another five days there is still no response, another reminder is sent and so on until the completed questionnaire is received.;;;;;;
