act id;activity;match;errorcode;;phrase id;phrase
1;Inform;0;;;0;0  The EC tells the INQ about the change of his master data .
2;Notify about change;1;;;1;1  The INQ notifies the IP of the change .
3;Check;2;;;2;2  The IP checks whether the master data can be changed at the desired time .
4;Confirm;3;;;3;3  The IP confirms the changes of the INQ or the IP rejects the changes of the INQ .
5;Reject;3;;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The EC tells the INQ about the change of his master data.;;;;;;
The INQ notifies the IP of the change.;;;;;;
The IP checks whether the master data can be changed at the desired time.;;;;;;
The IP confirms the changes of the INQ or the IP rejects the changes of the INQ.;;;;;;
