act id;activity;match;errorcode;;phrase id;phrase
1;Conduct dismissal;0;;;0;0  The MSPN sents a dismissal to the MSPO .
2;Review;1;;;1;1  The MSPO reviews the dismissal .
3;Reject dismissal;2;;;2;2  The MSPO rejects the dismissal of the MSPN or The MSPO confirms the dismissal of the MSPN .
4;Confirm dismissal;2;;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The MSPN sents a dismissal to the MSPO.;;;;;;
The MSPO reviews the dismissal.;;;;;;
The MSPO rejects the dismissal of the MSPN or The MSPO confirms the dismissal of the MSPN.;;;;;;
