act id;activity;match;errorcode;;phrase id;phrase
1;Create account;0;;;0;0 After the Expense Report is received, a new account must be created if the employee does not already have one.
2;Review for pre-approval;1;;;1;1 The report is then reviewed for automatic approval.
3;Conduct supervisor review;2;;;2;2 Amounts under $200 are automatically approved, whereas amounts equal to or over $200 require approval of the supervisor.
4;Send for payment;;m;;3;3 In case of rejection, the employee must receive a rejection notice by email.
5;Transfer to employee account;4;;;4;4 Otherwise, the reimbursement goes to the employees direct deposit bank account.
6;Notify employee;3;;;5;5 If the request is not completed in 7 days, then the employee must receive an approval in progress email.
7;Approve in progress email;5;;;6;6 If the request is not finished within 30 days, then the process is stopped and the employee receives an email cancellation notice and must re-submit the expense report.
8;Advise employee to start again;;m;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
;;;;;;
Ordering relations:;;;;;;
;;[0]->;1;->[2];;
;;[1]->;2;->[3, 4];;
;;[2]->;3;->[4, 6];;
;;[2, 3]->;4;->[5];;
;;[4]->;5;->[];;
;;[3]->;6;->[];;
;;[0]->;7;->[8];;
;;[7]->;8;->[];;
;;;;;;
Original text;;;;;;
After the Expense Report is received, a new account must be created if the employee does not already have one.;;;;;;
The report is then reviewed for automatic approval.;;;;;;
Amounts under $200 are automatically approved, whereas amounts equal to or over $200 require approval of the supervisor.;;;;;;
In case of rejection, the employee must receive a rejection notice by email.;;;;;;
Otherwise, the reimbursement goes to the employees direct deposit bank account.;;;;;;
If the request is not completed in 7 days, then the employee must receive an approval in progress email.;;;;;;
If the request is not finished within 30 days, then the process is stopped and the employee receives an email cancellation notice and must re-submit the expense report.;;;;;;
