act id;activity;match;errorcode;;phrase id;phrase
1;Request a device takeover bid;0;;;0;0  The MPON requests a device takeover bid of the MPOO .
2;Tender the equipment takeover;1;;;1;1  The MPOO sends a tender for the equipment takeover to the MPON .
3;Order;2;;;2;2  The MPON places an order at the MPOO .
4;Confirm order and transmission of master data;3;;;3;3  The MPOO confirms the order of the MPON and sends the master data .
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The MPON requests a device takeover bid of the MPOO.;;;;;;
The MPOO sends a tender for the equipment takeover to the MPON.;;;;;;
The MPON places an order at the MPOO.;;;;;;
The MPOO confirms the order of the MPON and sends the master data.;;;;;;
