act id;activity;match;errorcode;;phrase id;phrase
1;Conduct dismissal;;m;;0;0  The MPON sents the dismissal to the MPOO .
2;Review;1;;;1;1  The MPOO reviews the dismissal .
3;Reject the dismissal;2;;;2;2  The MPOO opposes the dismissal of MPON or the MPOO confirms the dismissal of the MPON .
4;Confirm the dismissal;2;;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The MPON sents the dismissal to the MPOO.;;;;;;
The MPOO reviews the dismissal.;;;;;;
The MPOO opposes the dismissal of MPON or the MPOO confirms the dismissal of the MPON.;;;;;;
