act id;activity;match;errorcode;;phrase id;phrase
1;Create order;0;;;0;0  The process starts periodically on the first of each month , when Assembler AG places an order with the supplier in order to request more product parts .
2;Process order;2;;;1;1  a -RRB- Assembler AG sends the order to the supplier .
3;Send invoice;3;;;2;2  b -RRB- The supplier processes the order .
4;Receive invoice;4;;;3;3  c -RRB- The supplier sends an invoice to Assembler AG .
;;;;;4;4  d -RRB- Assembler AG receives the invoice .
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
The process starts periodically on the first of each month, when Assembler AG places an order with the supplier in order to request more product parts.;;;;;;
a) Assembler AG sends the order to the supplier.;;;;;;
b) The supplier processes the order.;;;;;;
c) The supplier sends an invoice to Assembler AG.;;;;;;
d) Assembler AG receives the invoice.;;;;;;
