act id;activity;match;errorcode;;phrase id;phrase
1;Create meeting folder;0;;;0;0  Once the dates are finalized -LRB- by the Coordination Unit -RRB- , the Support Officer updates all group calendars and creates meeting folders for each meeting and ensures all appropriate documents are uploaded to system .
2;Upload all relevant documents;0;;;1;1  Committee Members are advised a week before each meeting to read all related documents .
3;Remind members to read documentation;1;;;2;2  The Committee Members hold their meeting , and the Support Office then produces minutes including any Action Points for each Committee Member .
4;Attend meeting;2;;;3;3  Within 5 working days , the Coordination Unit must conduct a QA check on the minutes , which are then sent to all Committee Members .
5;Prepare meeting minutes;2;;;4;4  The Support Officer then updates all departmental records .
6;Perform QA check;3;;;;
7;Remind coordination unit;;m;;;
8;Conduct meeting;2;;;;
;;;;;;
;;;;;;
error codes: missing activity = m, wrong order = w, ambiguous = a, else leave empty;;;;;;
Original text;;;;;;
Once the dates are finalized (by the Coordination Unit), the Support Officer updates all group calendars and creates meeting folders for each meeting and ensures all appropriate documents are uploaded to system.;;;;;;
Committee Members are advised a week before each meeting to read all related documents.;;;;;;
The Committee Members hold their meeting, and the Support Office then produces minutes including any Action Points for each Committee Member.;;;;;;
Within 5 working days, the Coordination Unit must conduct a QA check on the minutes, which are then sent to all Committee Members.;;;;;;
The Support Officer then updates all departmental records.;;;;;;
